Nodo,No. Paquete,Estatus del paquete,Tiempo de entrega,No. SEQ, No. Veces enviado,Tamaño en bytes,Iteración,Semilla,TTS,No. Paquetes a enviar,TA,TB 
0,1,1,2.992724,453806247,2,1000,1,704,3.00006,1,1,1
0,1,1,3.985707,453806247,3,1000,1,705,4.000126,1,1,1
0,1,1,2.937721,453806247,2,1000,1,706,3.000192,1,1,1
0,1,1,3.49494,453806247,3,1000,1,710,4.000157,1,1,1
0,1,1,2.614149,453806247,2,1000,1,712,3.00014,1,1,1
0,1,1,3.638345,453806247,3,1000,1,714,4.000123,1,1,1
0,1,1,3.81354,453806247,3,1000,1,716,4.000105,1,1,1
0,1,1,2.907689,453806247,2,1000,1,717,3.000171,1,1,1
0,1,1,5.513109,453806247,5,1000,1,720,6.00007,1,1,1
0,1,1,2.520436,453806247,2,1000,1,724,3.000185,1,1,1
0,1,1,3.864699,453806247,3,1000,1,728,4.00015,1,1,1
0,1,1,2.92952,453806247,2,1000,1,729,3.000067,1,1,1
0,1,1,2.973323,453806247,2,1000,1,734,3.000098,1,1,1
0,1,1,4.915714,453806247,4,1000,1,740,5.000196,1,1,1
0,1,1,2.992119,453806247,2,1000,1,741,3.000112,1,1,1
0,1,1,2.56043,453806247,2,1000,1,746,3.000143,1,1,1
0,1,1,2.969665,453806247,2,1000,1,751,3.000175,1,1,1
0,1,1,2.478749,453806247,2,1000,1,756,3.000056,1,1,1
0,1,1,2.991496,453806247,2,1000,1,763,3.00007,1,1,1
0,1,1,2.864701,453806247,2,1000,1,768,3.000102,1,1,1
0,1,1,4.80603,453806247,4,1000,1,773,5.000133,1,1,1
0,1,1,3.981225,453806247,3,1000,1,775,4.000116,1,1,1
0,1,1,3.615235,453806247,3,1000,1,776,4.000182,1,1,1
0,1,1,2.622413,453806247,2,1000,1,780,3.000147,1,1,1
0,1,1,2.557819,453806247,2,1000,1,793,3.000109,1,1,1
0,1,1,2.995727,453806247,2,1000,1,798,3.00014,1,1,1
0,1,1,2.558708,453806247,2,1000,1,803,3.000171,1,1,1
